city,province,city_province,lng,lat
بازرگان,آذربایجان غربی,"بازرگان, استان آذربایجان غربی",44.38735367,39.39721267
بوکان,آذربایجان غربی,"بوکان, استان آذربایجان غربی",46.20708433,36.51512233
پلدشت,آذربایجان غربی,"پلدشت, استان آذربایجان غربی",45.06581333,39.34696033
پیرانشهر,آذربایجان غربی,"پیرانشهر, استان آذربایجان غربی",45.14103067,36.69408467
تازه شهر,آذربایجان غربی,"تازه شهر, استان آذربایجان غربی",44.69716633,38.17576233
تکاب,آذربایجان غربی,"تکاب, استان آذربایجان غربی",47.11087533,36.40086733
چهاربرج,آذربایجان غربی,"چهاربرج, استان آذربایجان غربی",45.97847900,37.12530500
خوی,آذربایجان غربی,"خوی, استان آذربایجان غربی",44.95974633,38.55179433
دیزج دیز,آذربایجان غربی,"دیزج دیز, استان آذربایجان غربی",45.02289100,38.45977700
ربط,آذربایجان غربی,"ربط, استان آذربایجان غربی",51.08132367,35.48203167
سردشت,آذربایجان غربی,"سردشت, استان آذربایجان غربی",45.47611833,36.15683033
سرو,آذربایجان غربی,"سرو, استان آذربایجان غربی",45.47611833,36.15683033
سلماس,آذربایجان غربی,"سلماس, استان آذربایجان غربی",44.76643767,38.19378567
سیلوانه,آذربایجان غربی,"سیلوانه, استان آذربایجان غربی",44.85454433,37.42133533
سیمینه,آذربایجان غربی,"سیمینه, استان آذربایجان غربی",44.85454433,37.42133533
سیه چشمه,آذربایجان غربی,"سیه چشمه, استان آذربایجان غربی",44.85454433,37.42133533
شاهین دژ,آذربایجان غربی,"شاهین دژ, استان آذربایجان غربی",51.55308000,32.86037100
شوط,آذربایجان غربی,"شوط, استان آذربایجان غربی",52.53338000,29.59665700
فیرورق,آذربایجان غربی,"فیرورق, استان آذربایجان غربی",44.83341933,38.58098633
قره ضیاءالدین,آذربایجان غربی,"قره ضیاءالدین, استان آذربایجان غربی",45.03223967,38.89336267
قطور,آذربایجان غربی,"قطور, استان آذربایجان غربی",44.40723433,38.47344033
قوشچی,آذربایجان غربی,"قوشچی, استان آذربایجان غربی",45.03842633,37.98987533
کشاورز,آذربایجان غربی,"کشاورز, استان آذربایجان غربی",45.03842633,37.98987533
گردکشانه,آذربایجان غربی,"گردکشانه, استان آذربایجان غربی",45.03842633,37.98987533
ماکو,آذربایجان غربی,"ماکو, استان آذربایجان غربی",50.96939233,35.82864433
محمدیار,آذربایجان غربی,"محمدیار, استان آذربایجان غربی",50.96939233,35.82864433
محمودآباد,آذربایجان غربی,"محمودآباد, استان آذربایجان غربی",45.51617933,36.98286133
مهاباد,آذربایجان غربی,"مهاباد, استان آذربایجان غربی",45.72159700,36.76502100
میاندوآب,آذربایجان غربی,"میاندوآب, استان آذربایجان غربی",59.54444900,36.32606200
میرآباد,آذربایجان غربی,"میرآباد, استان آذربایجان غربی",59.54444900,36.32606200
نالوس,آذربایجان غربی,"نالوس, استان آذربایجان غربی",45.14316267,36.98332967
نقده,آذربایجان غربی,"نقده, استان آذربایجان غربی",45.38695433,36.95436933
نوشین,آذربایجان غربی,"نوشین, استان آذربایجان غربی",,
اردبیل,اردبیل,"اردبیل, استان اردبیل",48.29425767,38.24700867
اصلاندوز,اردبیل,"اصلاندوز, استان اردبیل",47.41018800,39.44133100
آبی بیگلو,اردبیل,"آبی بیگلو, استان اردبیل",48.55014533,38.28116333
بیله سوار,اردبیل,"بیله سوار, استان اردبیل",48.34771367,39.38249567
پارس آباد,اردبیل,"پارس آباد, استان اردبیل",47.91220767,39.63912567
تازه کند,اردبیل,"تازه کند, استان اردبیل",48.01617133,39.57514833
تازه کندانگوت,اردبیل,"تازه کندانگوت, استان اردبیل",47.74411167,39.04591167
جعفرآباد,اردبیل,"جعفرآباد, استان اردبیل",48.09468500,39.43820000
خلخال,اردبیل,"خلخال, استان اردبیل",48.52463267,37.62137567
رضی,اردبیل,"رضی, استان اردبیل",48.10037067,38.62523767
سرعین,اردبیل,"سرعین, استان اردبیل",46.99569133,35.31105533
عنبران,اردبیل,"عنبران, استان اردبیل",48.43452300,38.48868400
فخرآباد,اردبیل,"فخرآباد, استان اردبیل",47.85907967,38.52752267
کلور,اردبیل,"کلور, استان اردبیل",48.72283900,37.38995400
کوراییم,اردبیل,"کوراییم, استان اردبیل",48.23418100,37.95423300
گرمی,اردبیل,"گرمی, استان اردبیل",48.07622700,39.04136400
گیوی,اردبیل,"گیوی, استان اردبیل",54.43316467,36.84209567
لاهرود,اردبیل,"لاهرود, استان اردبیل",47.83187133,38.50524333
مشگین شهر,اردبیل,"مشگین شهر, استان اردبیل",47.67765867,38.39826667
نمین,اردبیل,"نمین, استان اردبیل",48.48228800,38.42627000
نیر,اردبیل,"نیر, استان اردبیل",48.01312667,38.03606767
هشتجین,اردبیل,"هشتجین, استان اردبیل",,
هیر,اردبیل,"هیر, استان اردبیل",48.50589933,38.08051233
ابریشم,اصفهان,"ابریشم, استان اصفهان",51.57376033,32.55894533
ابوزیدآباد,اصفهان,"ابوزیدآباد, استان اصفهان",51.76581367,33.90052167
اردستان,اصفهان,"اردستان, استان اصفهان",52.38132833,33.37868933
اژیه,اصفهان,"اژیه, استان اصفهان",52.37888000,32.43809600
اصفهان,اصفهان,"اصفهان, استان اصفهان",51.67157300,32.67210700
افوس,اصفهان,"افوس, استان اصفهان",50.09254733,33.02321133
انارک,اصفهان,"انارک, استان اصفهان",53.69434000,33.30447200
ایمانشهر,اصفهان,"ایمانشهر, استان اصفهان",51.67157300,32.67210700
آران وبیدگل,اصفهان,"آران وبیدگل, استان اصفهان",51.67157300,32.67210700
بادرود,اصفهان,"بادرود, استان اصفهان",52.00768433,33.69271133
باغ بهادران,اصفهان,"باغ بهادران, استان اصفهان",51.12828933,35.63817933
بافران,اصفهان,"بافران, استان اصفهان",51.12828933,35.63817933
برزک,اصفهان,"برزک, استان اصفهان",51.22593367,33.78360967
برف انبار,اصفهان,"برف انبار, استان اصفهان",50.19247500,32.99937900
بهاران شهر,اصفهان,"بهاران شهر, استان اصفهان",,
بهارستان,اصفهان,"بهارستان, استان اصفهان",51.77738800,32.49394200
بوئین و میاندشت,اصفهان,"بوئین و میاندشت, استان اصفهان",,
پیربکران,اصفهان,"پیربکران, استان اصفهان",51.55938500,32.47204700
تودشک,اصفهان,"تودشک, استان اصفهان",52.66699333,32.71983833
تیران,اصفهان,"تیران, استان اصفهان",51.15235633,32.70412733
جندق,اصفهان,"جندق, استان اصفهان",54.41390500,34.03831300
جوزدان,اصفهان,"جوزدان, استان اصفهان",51.37421033,32.55475533
جوشقان و کامو,اصفهان,"جوشقان و کامو, استان اصفهان",,
چادگان,اصفهان,"چادگان, استان اصفهان",50.62815733,32.77158533
چرمهین,اصفهان,"چرمهین, استان اصفهان",51.18971833,32.33365133
چمگردان,اصفهان,"چمگردان, استان اصفهان",51.18971833,32.33365133
حبیب آباد,اصفهان,"حبیب آباد, استان اصفهان",51.77581267,32.82753067
حسن آباد,اصفهان,"حسن آباد, استان اصفهان",51.23702600,35.36615200
حنا,اصفهان,"حنا, استان اصفهان",51.72420767,31.19775367
خالدآباد,اصفهان,"خالدآباد, استان اصفهان",51.98642000,33.69928100
خمینی شهر,اصفهان,"خمینی شهر, استان اصفهان",51.53606467,32.68049667
خوانسار,اصفهان,"خوانسار, استان اصفهان",50.31752533,33.22605733
خور,اصفهان,"خور, استان اصفهان",55.08518233,33.77382333
خورزوق,اصفهان,"خورزوق, استان اصفهان",51.64854533,32.77274433
داران,اصفهان,"داران, استان اصفهان",50.41516500,32.99147600
دامنه,اصفهان,"دامنه, استان اصفهان",50.48859267,33.01844367
درچه,اصفهان,"درچه, استان اصفهان",51.55331100,32.61308400
دستگرد,اصفهان,"دستگرد, استان اصفهان",51.67166167,32.79679767
دهاقان,اصفهان,"دهاقان, استان اصفهان",50.56401600,30.79262100
دهق,اصفهان,"دهق, استان اصفهان",50.95271767,33.10684067
دولت آباد,اصفهان,"دولت آباد, استان اصفهان",48.41144267,32.38740767
دیزیچه,اصفهان,"دیزیچه, استان اصفهان",48.41144267,32.38740767
رزوه,اصفهان,"رزوه, استان اصفهان",50.57224633,32.83759333
رضوانشهر,اصفهان,"رضوانشهر, استان اصفهان",50.57224633,32.83759333
زاینده رود,اصفهان,"زاینده رود, استان اصفهان",51.26959567,32.39234567
زرین شهر,اصفهان,"زرین شهر, استان اصفهان",51.37372100,32.39397500
زواره,اصفهان,"زواره, استان اصفهان",51.37372100,32.39397500
زیباشهر,اصفهان,"زیباشهر, استان اصفهان",52.48745600,33.44758800
سده لنجان,اصفهان,"سده لنجان, استان اصفهان",51.31412467,32.37916767
سفیدشهر,اصفهان,"سفیدشهر, استان اصفهان",51.31412467,32.37916767
سگزی,اصفهان,"سگزی, استان اصفهان",51.35450833,34.12310633
سمیرم,اصفهان,"سمیرم, استان اصفهان",51.56617233,31.41448533
شاهین شهر,اصفهان,"شاهین شهر, استان اصفهان",51.55308000,32.86037100
شهرضا,اصفهان,"شهرضا, استان اصفهان",51.85222667,32.00734567
طالخونچه,اصفهان,"طالخونچه, استان اصفهان",51.56015800,32.26239000
عسگران,اصفهان,"عسگران, استان اصفهان",50.85631233,32.86963133
علویجه,اصفهان,"علویجه, استان اصفهان",51.08057933,33.05195033
فرخی,اصفهان,"فرخی, استان اصفهان",54.94369467,33.84468667
فریدونشهر,اصفهان,"فریدونشهر, استان اصفهان",54.94369467,33.84468667
فلاورجان,اصفهان,"فلاورجان, استان اصفهان",,
فولادشهر,اصفهان,"فولادشهر, استان اصفهان",,
قمصر,اصفهان,"قمصر, استان اصفهان",54.94369467,33.84468667
قهجاورستان,اصفهان,"قهجاورستان, استان اصفهان",54.94369467,33.84468667
قهدریجان,اصفهان,"قهدریجان, استان اصفهان",54.94369467,33.84468667
کاشان,اصفهان,"کاشان, استان اصفهان",54.94369467,33.84468667
کرکوند,اصفهان,"کرکوند, استان اصفهان",خطا,خطا
کلیشاد و سودرجان,اصفهان,"کلیشاد و سودرجان, استان اصفهان",خطا,خطا
کمشچه,اصفهان,"کمشچه, استان اصفهان",خطا,خطا
کمه,اصفهان,"کمه, استان اصفهان",خطا,خطا
کهریزسنگ,اصفهان,"کهریزسنگ, استان اصفهان",خطا,خطا
کوشک,اصفهان,"کوشک, استان اصفهان",خطا,خطا
کوهپایه,اصفهان,"کوهپایه, استان اصفهان",خطا,خطا
گرگاب,اصفهان,"گرگاب, استان اصفهان",خطا,خطا
گزبرخوار,اصفهان,"گزبرخوار, استان اصفهان",خطا,خطا
گلپایگان,اصفهان,"گلپایگان, استان اصفهان",خطا,خطا
گلدشت,اصفهان,"گلدشت, استان اصفهان",خطا,خطا
گلشهر,اصفهان,"گلشهر, استان اصفهان",خطا,خطا
گوگد,اصفهان,"گوگد, استان اصفهان",خطا,خطا
لای بید,اصفهان,"لای بید, استان اصفهان",,
مبارکه,اصفهان,"مبارکه, استان اصفهان",خطا,خطا
مجلسی,اصفهان,"مجلسی, استان اصفهان",خطا,خطا
محمدآباد,اصفهان,"محمدآباد, استان اصفهان",خطا,خطا
مشکات,اصفهان,"مشکات, استان اصفهان",خطا,خطا
منظریه,اصفهان,"منظریه, استان اصفهان",خطا,خطا
مهاباد,اصفهان,"مهاباد, استان اصفهان",خطا,خطا
میمه,اصفهان,"میمه, استان اصفهان",خطا,خطا
نائین,اصفهان,"نائین, استان اصفهان",خطا,خطا
نجف آباد,اصفهان,"نجف آباد, استان اصفهان",خطا,خطا
نصرآباد,اصفهان,"نصرآباد, استان اصفهان",خطا,خطا
نطنز,اصفهان,"نطنز, استان اصفهان",خطا,خطا
نوش آباد,اصفهان,"نوش آباد, استان اصفهان",خطا,خطا
نیاسر,اصفهان,"نیاسر, استان اصفهان",خطا,خطا
نیک آباد,اصفهان,"نیک آباد, استان اصفهان",خطا,خطا
هرند,اصفهان,"هرند, استان اصفهان",خطا,خطا
ورزنه,اصفهان,"ورزنه, استان اصفهان",خطا,خطا
ورنامخواست,اصفهان,"ورنامخواست, استان اصفهان",خطا,خطا
وزوان,اصفهان,"وزوان, استان اصفهان",خطا,خطا
ونک,اصفهان,"ونک, استان اصفهان",خطا,خطا
اسارا,البرز,"اسارا, استان البرز",خطا,خطا
اشتهارد,البرز,"اشتهارد, استان البرز",خطا,خطا
تنکمان,البرز,"تنکمان, استان البرز",خطا,خطا
چهارباغ,البرز,"چهارباغ, استان البرز",,
سعید آباد,البرز,"سعید آباد, استان البرز",خطا,خطا
شهر جدید هشتگرد,البرز,"شهر جدید هشتگرد, استان البرز",خطا,خطا
طالقان,البرز,"طالقان, استان البرز",,
کرج,البرز,"کرج, استان البرز",خطا,خطا
کمال شهر,البرز,"کمال شهر, استان البرز",خطا,خطا
کوهسار,البرز,"کوهسار, استان البرز",خطا,خطا
گرمدره,البرز,"گرمدره, استان البرز",خطا,خطا
ماهدشت,البرز,"ماهدشت, استان البرز",خطا,خطا
محمدشهر,البرز,"محمدشهر, استان البرز",خطا,خطا
مشکین دشت,البرز,"مشکین دشت, استان البرز",خطا,خطا
نظرآباد,البرز,"نظرآباد, استان البرز",خطا,خطا
هشتگرد,البرز,"هشتگرد, استان البرز",خطا,خطا
ارکواز,ایلام,"ارکواز, استان ایلام",خطا,خطا
